序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
370,7.6,1,3,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,3546.3,7256.7
371,7.6,1,3,西安市航天基地工业二路2911楼3层3-0,1299.89,3119.74,3546.3,6666.04
372,7.6,1,4,银川市西夏区文昌南路西夏国际公铁物流城,1791.42,4299.41,4728.4,9027.81
373,7.6,1,3,天津市空港物流加工区东八道5,970.71,2329.7,3546.3,5876.01
374,7.6,1,3,天津市空港物流加工区东八道5,970.71,2329.7,3546.3,5876.01
375,7.6,1,3,天津市空港物流加工区东八道5,970.71,2329.7,3546.3,5876.01
376,7.6,1,3,天津市空港物流加工区东八道5,970.71,2329.7,3546.3,5876.01
377,7.6,1,3,天津市空港物流加工区东八道5,970.71,2329.7,3546.3,5876.01
378,7.6,1,3,天津市空港物流加工区东八道5,970.71,2329.7,3546.3,5876.01
379,7.6,1,3,天津滨海新区空港物流加工区环河南路8场院内6幢北楼二层、南楼一层,968.76,2325.02,3546.3,5871.33
380,7.6,1,3,天津市南开区罗平道1,970.39,2328.94,3546.3,5875.24
381,7.6,1,2,长春市高新开发区超群街99,1841.21,4418.9,2364.2,6783.1
382,7.6,1,2,长春市高新开发区超群街99,1841.21,4418.9,2364.2,6783.1
383,7.6,1,1,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,1182.1,4122.1
384,7.6,1,1,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,1182.1,4122.1
385,7.6,1,1,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,1182.1,4122.1
386,7.6,1,1,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,1182.1,4122.1
387,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
388,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
389,7.6,1,1,济南市槐荫区美里路108,741.7,1780.08,1182.1,2962.18
390,7.6,1,1,济南市槐荫区美里路108,741.7,1780.08,1182.1,2962.18
391,7.6,2,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,3514.57
392,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
393,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
394,7.6,1,2,天津市南开区罗平道1,970.39,2328.94,2364.2,4693.14
